mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-335-5p,NM_016580,PCDH12,2325,2338,0.923076923077,-15.9,1,0.000132716,0.544,1.4894382499999999,1.4788798887499994,-5.618663395431772,12,13,12,CDS,,0,0
hsa-miR-335-5p,NM_001301015,ABLIM3,4676,4695,1.0,-17.8,1,0.005709134,0.647,0.0,0.0,-8.056611621014136,17,19,13,3UTR,,0,0
hsa-miR-335-5p,NM_001301028,ABLIM3,3088,3107,1.0,-17.8,1,0.005258337,0.647,0.0,0.0,-8.056611621014136,17,19,13,3UTR,,0,0
hsa-miR-335-5p,NM_014945,ABLIM3,4322,4341,1.0,-17.8,1,0.005709134,0.647,1.9786610769230768,1.8538011074662157,-8.056611621014136,17,19,13,3UTR,,0,0
hsa-miR-335-5p,NM_001345859,ABLIM3,4037,4056,1.0,-17.8,1,0.005258337,0.647,1.9786610769230768,1.8538011074662157,-8.056611621014136,17,19,13,3UTR,,0,0
hsa-miR-335-5p,NM_133263,PPARGC1B,6291,6306,1.0,-17.7,1,0.01318642,0.574,2.0022528,2.62656347,-11.077650871762618,12,15,10,3UTR,,0,1
hsa-miR-335-5p,NM_001172698,PPARGC1B,6174,6189,1.0,-17.7,1,0.01318642,0.574,2.0022528,2.62656347,-11.077650871762618,12,15,10,3UTR,,0,1
hsa-miR-335-5p,NM_001172699,PPARGC1B,6205,6220,1.0,-17.7,1,0.01318642,0.574,1.8848288999999998,2.6294991974999995,-11.077650871762618,12,15,10,3UTR,,0,1
hsa-miR-335-5p,NM_016221,DCTN4,1656,1671,0.923076923077,-15.3,1,0.001697168,0.471,0.12226600000000003,0.17130427249999994,-5.315504530326973,13,15,11,3UTR,,0,0
hsa-miR-335-5p,NM_001135643,DCTN4,1677,1692,0.923076923077,-15.3,1,0.001697168,0.471,0.7192866727272726,0.15118832000000004,-5.315504530326973,13,15,11,3UTR,,0,0
hsa-miR-335-5p,NM_001135644,DCTN4,1824,1839,0.923076923077,-15.3,1,0.001697168,0.471,0.3566074909090909,0.14528758874999997,-5.315504530326973,13,15,11,3UTR,,0,0
hsa-miR-335-5p,NM_032947,SMIM3,1143,1157,1.0,-16.3,1,0.00143756,0.471,2.448083818181818,3.2291162849999995,-10.63357736849121,12,14,11,CDS,,0,0
hsa-miR-335-5p,NM_014180,MRPL22,2445,2463,0.923076923077,-15.4,1,9.66468e-06,0.471,0.1706139363636364,0.02822979249999999,-10.39884692653892,11,13,11,3UTR,,0,0
hsa-miR-335-5p,NM_001014990,MRPL22,2327,2345,0.923076923077,-15.4,1,9.66468e-06,0.471,0.1706139363636364,0.02822979249999999,-10.39884692653892,11,13,11,3UTR,,0,0
hsa-miR-335-5p,NM_032782,HAVCR2,1596,1617,0.923076923077,-15.4,1,0.1145448,0.574,0.031677300000000005,0.16265087875000003,-6.7623489216120145,18,21,10,3UTR,,0,0
hsa-miR-335-5p,NM_033274,ADAM19,4450,4465,0.923076923077,-16.0,1,0.004662127,0.485,3.0796522222222222,3.93443240625,-8.004855389940193,14,15,14,3UTR,,0,0
hsa-miR-335-5p,NM_173491,LSM11,6033,6051,0.846153846154,-14.9,1,0.01274539,0.676,1.4736953181818182,1.2810541849999997,-8.573508368464264,15,18,11,3UTR,,0,1
hsa-miR-335-5p,XM_011534646,CCNJL,3036,3053,0.846153846154,-15.1,1,0.1370838,0.511,0.0,0.0,-11.584707779840164,12,17,9,3UTR,,0,1
hsa-miR-335-5p,NM_001308173,CCNJL,3153,3170,0.846153846154,-15.1,1,0.08882747,0.593,0.2520553555555556,-0.08572668875000006,-11.584707779840164,12,17,9,3UTR,,0,1
hsa-miR-335-5p,NM_024565,CCNJL,3297,3314,0.846153846154,-15.1,1,0.08882747,0.593,0.4266816222222222,-0.023642775000000026,-11.584707779840164,12,17,9,3UTR,,0,1
hsa-miR-335-5p,NM_025153,ATP10B,4753,4778,1.0,-16.8,1,0.1245647,0.544,0.18580661666666667,0.9154968699999999,-5.925499359926538,12,14,12,CDS,MIRT017827,0,0
hsa-miR-335-5p,XM_011534472,ATP10B,4050,4075,0.923076923077,-16.8,1,0.1245647,0.544,0.0,0.0,-5.925499359926538,12,14,12,CDS,MIRT017827,0,0
hsa-miR-335-5p,NM_021911,GABRB2,5459,5482,0.846153846154,-15.6,1,0.04012175,0.676,0.518513625,2.08774119875,-9.861343503275094,17,23,8,3UTR,,0,0
hsa-miR-335-5p,NM_178040,ERC1,222,239,0.923076923077,-16.7,1,0.08198979,0.574,0.5017839363636364,2.2381118824999997,-8.056611621014136,15,17,11,5UTR,MIRT017354,0,1
hsa-miR-335-5p,NM_178039,ERC1,222,239,0.923076923077,-16.7,1,0.08198979,0.574,0.5017839363636364,2.2381118824999997,-8.056611621014136,15,17,11,5UTR,MIRT017354,0,1
hsa-miR-335-5p,NM_001301248,ERC1,107,124,0.846153846154,-16.7,1,0.08198979,0.574,0.10029530000000003,1.67011649125,-8.056611621014136,15,17,11,5UTR,MIRT017354,0,1
hsa-miR-335-5p,XM_017019946,CACNA1C,452,469,0.846153846154,-15.6,1,0.006597678,0.618,0.0,0.0,-7.202645801464468,14,17,8,5UTR,,0,0
hsa-miR-335-5p,XM_017019932,CACNA1C,452,469,0.846153846154,-15.6,1,0.006597678,0.618,0.0,0.0,-7.202645801464468,14,17,8,5UTR,,0,0
hsa-miR-335-5p,NM_001759,CCND2,4574,4589,1.0,-16.0,1,0.2715244,0.647,-0.2111962,-0.31928912,-4.95700071937229,14,15,14,3UTR,MIRT018710,0,0
hsa-miR-335-5p,NM_016184,CLEC4A,400,444,0.846153846154,-15.7,1,0.0826576,0.691,0.9320200166666665,0.47480188824999997,-4.650164754877524,15,18,12,CDS,,0,0
hsa-miR-335-5p,NM_194450,CLEC4A,400,444,0.923076923077,-15.7,1,0.03053439,0.574,0.9320200166666665,0.46895599625,-4.650164754877524,15,18,12,CDS,,0,0
hsa-miR-335-5p,NM_001207024,M6PR,954,966,1.0,-15.1,1,0.08562615,0.574,0.4100561818181818,0.5995105347499999,-6.907794008098015,11,12,11,3UTR,,0,1
hsa-miR-335-5p,NM_018179,ATF7IP,4710,4722,0.923076923077,-15.2,1,0.07591926,0.632,0.5890473818181818,0.43451440809999986,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-335-5p,NM_001286514,ATF7IP,4707,4719,1.0,-15.2,1,0.07591926,0.632,-0.014007727272727305,0.28485387934999984,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-335-5p,NM_181352,ATF7IP,4851,4863,1.0,-15.2,1,0.07591926,0.632,0.0007010067272727309,0.024970204350000007,-9.779611548941542,11,12,11,3UTR,,0,0
