mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-126-5p,NM_018940,PCDHB7,1024,1040,0.846153846154,-16.0,1,0.006597293,0.544,0.06501138400000003,0.4230478880000001,-4.95700071937229,15,16,15,CDS,,0,0
hsa-miR-126-5p,NM_018919,PCDHGA6,1016,1044,0.846153846154,-18.5,1,0.0001583956,0.618,0.8082398000000001,0.41287605625000007,-9.546562468637928,15,17,15,CDS,,0,0
hsa-miR-126-5p,NM_003736,PCDHGB4,1022,1039,0.846153846154,-16.9,1,0.05887839,0.588,0.8673342416666664,0.57284776625,-6.747589273982352,15,17,12,CDS,,0,0
hsa-miR-126-5p,NM_032098,PCDHGB4,1022,1039,0.846153846154,-16.9,1,0.05887839,0.588,0.8673342416666664,0.57284776625,-6.747589273982352,15,17,12,CDS,,0,0
hsa-miR-126-5p,NM_003883,HDAC3,938,956,0.846153846154,-16.7,1,8.773749e-06,0.471,5.429739799999999,5.313568465000001,-8.573508368464264,17,18,17,CDS,,0,0
hsa-miR-126-5p,NM_014773,KIAA0141,4217,4231,0.846153846154,-17.6,0,3.186897e-05,0.574,0.17148441818181814,0.371959195,-17.110244939514768,12,14,11,3UTR,,0,0
hsa-miR-126-5p,NM_001142603,KIAA0141,3424,3438,0.846153846154,-17.6,0,3.186897e-05,0.574,0.17148441818181814,0.371959195,-17.110244939514768,12,14,11,3UTR,,0,0
hsa-miR-126-5p,NM_020768,KCTD16,3487,3507,1.0,-18.0,1,0.0005462979,0.603,0.5748664444444445,0.7639121062499998,-8.303804028968646,18,20,9,3UTR,,0,0
hsa-miR-126-5p,NM_194251,GPR151,291,308,0.846153846154,-17.1,0,0.002724856,0.5,3.2045575624999993,2.441431096249999,-15.566558404643448,14,17,9,CDS,,0,0
hsa-miR-126-5p,NM_001127698,SPINK5,2289,2305,0.923076923077,-15.8,1,0.01925827,0.618,3.0747468749999998,1.2981490825,-21.079683896785287,12,16,8,CDS,,0,0
hsa-miR-126-5p,NM_006846,SPINK5,2289,2305,0.846153846154,-15.8,1,0.01925827,0.618,1.8166137500000001,1.3839207974999999,-21.079683896785287,12,16,8,CDS,,0,0
hsa-miR-126-5p,NM_001127699,SPINK5,2289,2305,0.923076923077,-15.8,1,0.01925827,0.618,3.0747468749999998,1.2981490825,-21.079683896785287,12,16,8,CDS,,0,0
hsa-miR-126-5p,NM_032566,SPINK7,253,281,0.923076923077,-19.1,1,0.01981896,0.603,0.8740084615384613,1.8418330449999996,-6.251209375382295,20,28,13,CDS,,0,0
hsa-miR-126-5p,NM_001166208,SYNPO,48,99,0.846153846154,-21.6,1,7.531873e-06,0.338,0.37100655000000005,0.576087229647436,-7.794895910253615,19,24,10,5UTR,,0,0
hsa-miR-126-5p,NM_001122853,MYOZ3,679,703,0.846153846154,-19.5,1,8.484311e-05,0.412,1.276631285714286,1.7187207225,-8.573508368464264,18,24,8,CDS,,0,1
hsa-miR-126-5p,NM_133371,MYOZ3,331,355,0.846153846154,-19.5,1,8.484311e-05,0.412,4.866341142857143,2.8786336057499997,-8.573508368464264,18,24,8,CDS,,0,1
hsa-miR-126-5p,NM_001172832,ZNF300,1608,1624,1.0,-17.1,1,2.121187e-05,0.5,1.51997809,0.7786785712500002,-14.90810611177858,14,16,10,CDS,,0,0
hsa-miR-126-5p,NM_052860,ZNF300,1650,1666,1.0,-17.1,1,2.121187e-05,0.5,1.0413443,1.4309641212500002,-14.90810611177858,14,16,10,CDS,,0,0
hsa-miR-126-5p,NM_001172831,ZNF300,1705,1721,1.0,-17.1,1,2.121187e-05,0.5,1.4032377,0.7699227575,-14.90810611177858,14,16,10,CDS,,0,0
hsa-miR-126-5p,NM_078483,SLC36A1,4200,4224,0.846153846154,-18.0,1,0.001628914,0.471,-0.2725246,-0.45807050875,-6.7623489216120145,18,24,10,3UTR,,0,0
hsa-miR-126-5p,NM_001242336,MFAP3,3219,3237,0.923076923077,-18.0,1,0.02641092,0.588,0.6165393869285715,0.6051945071625,-6.514540193678739,16,18,14,3UTR,,0,0
hsa-miR-126-5p,NM_001135037,MFAP3,2461,2479,0.923076923077,-18.0,1,0.02641092,0.588,0.6165393869285715,0.6051945071625,-6.514540193678739,16,18,14,3UTR,,0,0
hsa-miR-126-5p,NM_015315,LARP1,883,905,1.0,-19.1,1,0.002933765,0.5,4.627944494736842,3.9157364874999994,-3.937574446201665,19,22,12,CDS,,0,0
hsa-miR-126-5p,NM_015315,LARP1,5642,5658,0.923076923077,-17.4,1,5.660662e-07,0.456,4.032213333333334,2.8233450261249997,-13.6655996434504,14,16,12,3UTR,,0,0
hsa-miR-126-5p,NM_206858,PPP1R2B,306,325,0.846153846154,-16.4,1,0.02622264,0.485,2.0954120909090914,0.4623195125000001,-8.141217673318426,16,19,11,CDS,,0,0
hsa-miR-126-5p,NM_017872,THG1L,348,370,0.923076923077,-18.8,1,0.002318561,0.559,2.8000858461538463,5.646483278750001,-5.813840636892696,18,22,9,CDS,,0,0
hsa-miR-126-5p,NM_173491,LSM11,2656,2671,0.846153846154,-16.0,1,0.008835087,0.676,0.012152314285714283,0.77365648625,-12.893365778234283,13,15,7,3UTR,,0,0
hsa-miR-126-5p,NM_182708,EBF1,1303,1325,0.923076923077,-18.6,1,0.00238404,0.471,3.8736400142857144,4.813223867500001,-6.106959766537749,18,22,8,CDS,,0,1
hsa-miR-126-5p,NM_024007,EBF1,1396,1418,0.923076923077,-18.6,1,0.00238404,0.471,7.273955714285717,4.754209342499999,-6.106959766537749,18,22,8,CDS,,0,1
hsa-miR-126-5p,XM_017009201,EBF1,2267,2285,0.846153846154,-16.6,1,0.01501926,0.574,0.0,0.0,-8.401646015436656,15,18,12,5UTR,,0,1
hsa-miR-126-5p,NM_002014,FKBP4,292,306,0.846153846154,-18.0,0,1.359728e-05,0.456,3.4022827153846156,3.659463735,-17.110244939514768,13,14,13,CDS,,0,0
