Target Detail	Target Rank	Target Score	miRNA Name	Gene Symbol	Gene Description	
Details	1	100	hsa-miR-126-5p	HSPB8	heat shock protein family B (small) member 8	
Details	2	100	hsa-miR-126-5p	PDE7B	phosphodiesterase 7B	
Details	3	100	hsa-miR-126-5p	FBXO6	F-box protein 6	
Details	4	100	hsa-miR-126-5p	TRMT9B	tRNA methyltransferase 9B (putative)	
Details	5	100	hsa-miR-126-5p	TNFAIP8L3	TNF alpha induced protein 8 like 3	
Details	6	100	hsa-miR-126-5p	HOXB6	homeobox B6	
Details	7	100	hsa-miR-126-5p	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	
Details	8	100	hsa-miR-126-5p	NAT1	N-acetyltransferase 1	
Details	9	100	hsa-miR-126-5p	CASP9	caspase 9	
Details	10	100	hsa-miR-126-5p	TRIM8	tripartite motif containing 8	
Details	11	100	hsa-miR-126-5p	TMEM182	transmembrane protein 182	
Details	12	100	hsa-miR-126-5p	MR1	major histocompatibility complex, class I-related	
Details	13	100	hsa-miR-126-5p	ESRRG	estrogen related receptor gamma	
Details	14	100	hsa-miR-126-5p	S1PR3	sphingosine-1-phosphate receptor 3	
Details	15	100	hsa-miR-126-5p	A2ML1	alpha-2-macroglobulin like 1	
Details	16	100	hsa-miR-126-5p	MDM4	MDM4, p53 regulator	
Details	17	100	hsa-miR-126-5p	BRWD3	bromodomain and WD repeat domain containing 3	
Details	18	100	hsa-miR-126-5p	RFX4	regulatory factor X4	
Details	19	100	hsa-miR-126-5p	TRPS1	transcriptional repressor GATA binding 1	
Details	20	100	hsa-miR-126-5p	ARL11	ADP ribosylation factor like GTPase 11	
Details	21	100	hsa-miR-126-5p	FAM168A	family with sequence similarity 168 member A	
Details	22	100	hsa-miR-126-5p	CASK	calcium/calmodulin dependent serine protein kinase	
Details	23	100	hsa-miR-126-5p	DENND1B	DENN domain containing 1B	
Details	24	100	hsa-miR-126-5p	GRIK2	glutamate ionotropic receptor kainate type subunit 2	
Details	25	100	hsa-miR-126-5p	TBCA	tubulin folding cofactor A	
Details	26	100	hsa-miR-126-5p	HOXC8	homeobox C8	
Details	27	100	hsa-miR-126-5p	INPP5D	inositol polyphosphate-5-phosphatase D	
Details	28	100	hsa-miR-126-5p	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	
Details	29	100	hsa-miR-126-5p	GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit	
Details	30	100	hsa-miR-126-5p	CD84	CD84 molecule	
