Target Detail	Target Rank	Target Score	miRNA Name	Gene Symbol	Gene Description	
Details	1	100	hsa-miR-16-5p	PAPPA	pappalysin 1	
Details	2	100	hsa-miR-16-5p	FASN	fatty acid synthase	
Details	3	100	hsa-miR-16-5p	UNC80	unc-80 homolog, NALCN channel complex subunit	
Details	4	100	hsa-miR-16-5p	FGF2	fibroblast growth factor 2	
Details	5	100	hsa-miR-16-5p	TNRC6B	trinucleotide repeat containing 6B	
Details	6	100	hsa-miR-16-5p	PTPN4	protein tyrosine phosphatase, non-receptor type 4	
Details	7	100	hsa-miR-16-5p	PHF19	PHD finger protein 19	
Details	8	100	hsa-miR-16-5p	DESI1	desumoylating isopeptidase 1	
Details	9	99	hsa-miR-16-5p	UBE2Q1	ubiquitin conjugating enzyme E2 Q1	
Details	10	99	hsa-miR-16-5p	LSM11	LSM11, U7 small nuclear RNA associated	
Details	11	99	hsa-miR-16-5p	NECTIN1	nectin cell adhesion molecule 1	
Details	12	99	hsa-miR-16-5p	GAREM1	GRB2 associated regulator of MAPK1 subtype 1	
Details	13	99	hsa-miR-16-5p	ANKUB1	ankyrin repeat and ubiquitin domain containing 1	
Details	14	99	hsa-miR-16-5p	FBXO21	F-box protein 21	
Details	15	99	hsa-miR-16-5p	CCNE1	cyclin E1	
Details	16	99	hsa-miR-16-5p	ATG14	autophagy related 14	
Details	17	99	hsa-miR-16-5p	LUZP1	leucine zipper protein 1	
Details	18	99	hsa-miR-16-5p	SLC13A3	solute carrier family 13 member 3	
Details	19	99	hsa-miR-16-5p	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	
Details	20	99	hsa-miR-16-5p	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	
Details	21	99	hsa-miR-16-5p	EPHB2	EPH receptor B2	
Details	22	99	hsa-miR-16-5p	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	
Details	23	99	hsa-miR-16-5p	SPRYD3	SPRY domain containing 3	
Details	24	99	hsa-miR-16-5p	ARL2	ADP ribosylation factor like GTPase 2	
Details	25	99	hsa-miR-16-5p	CASK	calcium/calmodulin dependent serine protein kinase	
Details	26	99	hsa-miR-16-5p	NUP50	nucleoporin 50	
Details	27	99	hsa-miR-16-5p	DCLK1	doublecortin like kinase 1	
Details	28	99	hsa-miR-16-5p	CYB561A3	cytochrome b561 family member A3	
Details	29	99	hsa-miR-16-5p	ZBTB46	zinc finger and BTB domain containing 46	
Details	30	99	hsa-miR-16-5p	FGF7	fibroblast growth factor 7	
Details	31	98	hsa-miR-16-5p	RECK	reversion inducing cysteine rich protein with kazal motifs	
Details	32	98	hsa-miR-16-5p	PLAG1	PLAG1 zinc finger	
Details	33	98	hsa-miR-16-5p	AXIN2	axin 2	
Details	34	98	hsa-miR-16-5p	GPR63	G protein-coupled receptor 63	
Details	35	98	hsa-miR-16-5p	SYNJ1	synaptojanin 1	
Details	36	98	hsa-miR-16-5p	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	
Details	37	98	hsa-miR-16-5p	SCN8A	sodium voltage-gated channel alpha subunit 8	
Details	38	98	hsa-miR-16-5p	CACNA1E	calcium voltage-gated channel subunit alpha1 E	
Details	39	98	hsa-miR-16-5p	PISD	phosphatidylserine decarboxylase	
Details	40	98	hsa-miR-16-5p	KCNJ2	potassium voltage-gated channel subfamily J member 2	
Details	41	98	hsa-miR-16-5p	C2orf42	chromosome 2 open reading frame 42	
Details	42	98	hsa-miR-16-5p	UBE2V1	ubiquitin conjugating enzyme E2 V1	
Details	43	98	hsa-miR-16-5p	KIF1B	kinesin family member 1B	
Details	44	98	hsa-miR-16-5p	SPRED1	sprouty related EVH1 domain containing 1	
Details	45	98	hsa-miR-16-5p	SREK1	splicing regulatory glutamic acid and lysine rich protein 1	
Details	46	98	hsa-miR-16-5p	TBL1XR1	transducin beta like 1 X-linked receptor 1	
Details	47	98	hsa-miR-16-5p	MTMR3	myotubularin related protein 3	
Details	48	98	hsa-miR-16-5p	TLK1	tousled like kinase 1	
Details	49	98	hsa-miR-16-5p	SLC11A2	solute carrier family 11 member 2	
Details	50	98	hsa-miR-16-5p	MOB3B	MOB kinase activator 3B	
Details	51	98	hsa-miR-16-5p	ZBTB44	zinc finger and BTB domain containing 44	
Details	52	98	hsa-miR-16-5p	ANO3	anoctamin 3	
Details	53	98	hsa-miR-16-5p	SLC9A6	solute carrier family 9 member A6	
Details	54	98	hsa-miR-16-5p	APLN	apelin	
Details	55	98	hsa-miR-16-5p	AKT3	AKT serine/threonine kinase 3	
Details	56	98	hsa-miR-16-5p	IPO7	importin 7	
Details	57	98	hsa-miR-16-5p	RASGEF1B	RasGEF domain family member 1B	
Details	58	98	hsa-miR-16-5p	ATG9A	autophagy related 9A	
Details	59	98	hsa-miR-16-5p	CPEB2	cytoplasmic polyadenylation element binding protein 2	
Details	60	98	hsa-miR-16-5p	AHCYL2	adenosylhomocysteinase like 2	
Details	61	98	hsa-miR-16-5p	MYB	MYB proto-oncogene, transcription factor	
Details	62	98	hsa-miR-16-5p	CCND2	cyclin D2	
Details	63	98	hsa-miR-16-5p	KIF5C	kinesin family member 5C	
Details	64	98	hsa-miR-16-5p	UBN2	ubinuclein 2	
Details	65	98	hsa-miR-16-5p	UBE4B	ubiquitination factor E4B	
Details	66	98	hsa-miR-16-5p	ARL3	ADP ribosylation factor like GTPase 3	
Details	67	97	hsa-miR-16-5p	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator	
Details	68	97	hsa-miR-16-5p	CDCA4	cell division cycle associated 4	
Details	69	97	hsa-miR-16-5p	KDSR	3-ketodihydrosphingosine reductase	
Details	70	97	hsa-miR-16-5p	KIF23	kinesin family member 23	
Details	71	97	hsa-miR-16-5p	TFAP2A	transcription factor AP-2 alpha	
Details	72	97	hsa-miR-16-5p	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	
Details	73	97	hsa-miR-16-5p	SHOC2	SHOC2, leucine rich repeat scaffold protein	
Details	74	97	hsa-miR-16-5p	HTR2A	5-hydroxytryptamine receptor 2A	
Details	75	97	hsa-miR-16-5p	LURAP1L	leucine rich adaptor protein 1 like	
Details	76	97	hsa-miR-16-5p	DMPK	DM1 protein kinase	
Details	77	97	hsa-miR-16-5p	RAB11FIP2	RAB11 family interacting protein 2	
Details	78	97	hsa-miR-16-5p	TMEM100	transmembrane protein 100	
Details	79	97	hsa-miR-16-5p	RASSF8	Ras association domain family member 8	
Details	80	97	hsa-miR-16-5p	FBXW7	F-box and WD repeat domain containing 7	
Details	81	97	hsa-miR-16-5p	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	
Details	82	97	hsa-miR-16-5p	GRM7	glutamate metabotropic receptor 7	
Details	83	97	hsa-miR-16-5p	WEE1	WEE1 G2 checkpoint kinase	
Details	84	97	hsa-miR-16-5p	STOX2	storkhead box 2	
Details	85	97	hsa-miR-16-5p	CYP26B1	cytochrome P450 family 26 subfamily B member 1	
Details	86	96	hsa-miR-16-5p	N4BP1	NEDD4 binding protein 1	
Details	87	96	hsa-miR-16-5p	PLPP1	phospholipid phosphatase 1	
Details	88	96	hsa-miR-16-5p	ZNF691	zinc finger protein 691	
Details	89	96	hsa-miR-16-5p	ZCCHC3	zinc finger CCHC-type containing 3	
Details	90	96	hsa-miR-16-5p	RNF144B	ring finger protein 144B	
Details	91	96	hsa-miR-16-5p	ARMH4	armadillo-like helical domain containing 4	
Details	92	96	hsa-miR-16-5p	SALL4	spalt like transcription factor 4	
Details	93	96	hsa-miR-16-5p	TBPL1	TATA-box binding protein like 1	
Details	94	96	hsa-miR-16-5p	CFAP45	cilia and flagella associated protein 45	
Details	95	96	hsa-miR-16-5p	CNOT6L	CCR4-NOT transcription complex subunit 6 like	
Details	96	96	hsa-miR-16-5p	SEMA6D	semaphorin 6D	
Details	97	96	hsa-miR-16-5p	RFX3	regulatory factor X3	
Details	98	96	hsa-miR-16-5p	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	
Details	99	96	hsa-miR-16-5p	CBX2	chromobox 2	
Details	100	96	hsa-miR-16-5p	EDA	ectodysplasin A	
Details	101	96	hsa-miR-16-5p	SEC24A	SEC24 homolog A, COPII coat complex component	
Details	102	96	hsa-miR-16-5p	KLHL2	kelch like family member 2	
Details	103	96	hsa-miR-16-5p	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	
Details	104	96	hsa-miR-16-5p	PTPN3	protein tyrosine phosphatase, non-receptor type 3	
Details	105	96	hsa-miR-16-5p	ZBTB34	zinc finger and BTB domain containing 34	
Details	106	96	hsa-miR-16-5p	CASR	calcium sensing receptor	
Details	107	96	hsa-miR-16-5p	MYLK	myosin light chain kinase	
Details	108	96	hsa-miR-16-5p	CCDC6	coiled-coil domain containing 6	
Details	109	96	hsa-miR-16-5p	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	
Details	110	96	hsa-miR-16-5p	NAPG	NSF attachment protein gamma	
Details	111	96	hsa-miR-16-5p	GABARAPL1	GABA type A receptor associated protein like 1	
Details	112	96	hsa-miR-16-5p	ZNF367	zinc finger protein 367	
Details	113	96	hsa-miR-16-5p	STXBP3	syntaxin binding protein 3	
Details	114	95	hsa-miR-16-5p	ZMAT3	zinc finger matrin-type 3	
Details	115	95	hsa-miR-16-5p	UBFD1	ubiquitin family domain containing 1	
Details	116	95	hsa-miR-16-5p	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	
Details	117	95	hsa-miR-16-5p	HIPK2	homeodomain interacting protein kinase 2	
Details	118	95	hsa-miR-16-5p	CEP55	centrosomal protein 55	
Details	119	95	hsa-miR-16-5p	MKX	mohawk homeobox	
Details	120	95	hsa-miR-16-5p	TNFSF13B	TNF superfamily member 13b	
Details	121	95	hsa-miR-16-5p	IPPK	inositol-pentakisphosphate 2-kinase	
Details	122	95	hsa-miR-16-5p	VEGFA	vascular endothelial growth factor A	
Details	123	95	hsa-miR-16-5p	SLC25A37	solute carrier family 25 member 37	
Details	124	95	hsa-miR-16-5p	KIF5B	kinesin family member 5B	
Details	125	95	hsa-miR-16-5p	LATS1	large tumor suppressor kinase 1	
Details	126	95	hsa-miR-16-5p	SETD3	SET domain containing 3, actin histidine methyltransferase	
Details	127	95	hsa-miR-16-5p	MAP2K1	mitogen-activated protein kinase kinase 1	
Details	128	95	hsa-miR-16-5p	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	
Details	129	95	hsa-miR-16-5p	USP25	ubiquitin specific peptidase 25	
Details	130	95	hsa-miR-16-5p	FGFR1	fibroblast growth factor receptor 1	
Details	131	95	hsa-miR-16-5p	MYBL1	MYB proto-oncogene like 1	
Details	132	95	hsa-miR-16-5p	GPATCH8	G-patch domain containing 8	
Details	133	95	hsa-miR-16-5p	CBX4	chromobox 4	
Details	134	94	hsa-miR-16-5p	JPH3	junctophilin 3	
Details	135	94	hsa-miR-16-5p	USP42	ubiquitin specific peptidase 42	
Details	136	94	hsa-miR-16-5p	STRADB	STE20 related adaptor beta	
Details	137	94	hsa-miR-16-5p	RNF217	ring finger protein 217	
Details	138	94	hsa-miR-16-5p	LRRN3	leucine rich repeat neuronal 3	
Details	139	94	hsa-miR-16-5p	STXBP5	syntaxin binding protein 5	
Details	140	94	hsa-miR-16-5p	ZFHX4	zinc finger homeobox 4	
Details	141	94	hsa-miR-16-5p	ZNF622	zinc finger protein 622	
Details	142	94	hsa-miR-16-5p	PTPRR	protein tyrosine phosphatase, receptor type R	
Details	143	94	hsa-miR-16-5p	ATXN2	ataxin 2	
Details	144	94	hsa-miR-16-5p	ZNRF2	zinc and ring finger 2	
Details	145	94	hsa-miR-16-5p	OOEP	oocyte expressed protein	
Details	146	94	hsa-miR-16-5p	P3H2	prolyl 3-hydroxylase 2	
Details	147	94	hsa-miR-16-5p	ZBTB39	zinc finger and BTB domain containing 39	
Details	148	94	hsa-miR-16-5p	SRPRA	SRP receptor subunit alpha	
Details	149	94	hsa-miR-16-5p	PLXNA4	plexin A4	
Details	150	94	hsa-miR-16-5p	WNK3	WNK lysine deficient protein kinase 3	
Details	151	94	hsa-miR-16-5p	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	
Details	152	94	hsa-miR-16-5p	DDX3X	DEAD-box helicase 3 X-linked	
Details	153	94	hsa-miR-16-5p	LRIG2	leucine rich repeats and immunoglobulin like domains 2	
Details	154	94	hsa-miR-16-5p	ARHGDIA	Rho GDP dissociation inhibitor alpha	
Details	155	94	hsa-miR-16-5p	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	
Details	156	94	hsa-miR-16-5p	DCP1A	decapping mRNA 1A	
Details	157	94	hsa-miR-16-5p	CHEK1	checkpoint kinase 1	
Details	158	94	hsa-miR-16-5p	OMG	oligodendrocyte myelin glycoprotein	
Details	159	94	hsa-miR-16-5p	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	
Details	160	93	hsa-miR-16-5p	ACTR2	ARP2 actin related protein 2 homolog	
Details	161	93	hsa-miR-16-5p	GHR	growth hormone receptor	
Details	162	93	hsa-miR-16-5p	BTAF1	B-TFIID TATA-box binding protein associated factor 1	
Details	163	93	hsa-miR-16-5p	AVL9	AVL9 cell migration associated	
Details	164	93	hsa-miR-16-5p	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	
Details	165	93	hsa-miR-16-5p	FBXL20	F-box and leucine rich repeat protein 20	
Details	166	93	hsa-miR-16-5p	DIXDC1	DIX domain containing 1	
Details	167	93	hsa-miR-16-5p	CCND1	cyclin D1	
Details	168	93	hsa-miR-16-5p	UBE4A	ubiquitination factor E4A	
Details	169	93	hsa-miR-16-5p	MFN2	mitofusin 2	
Details	170	93	hsa-miR-16-5p	WNT3A	Wnt family member 3A	
Details	171	93	hsa-miR-16-5p	SOCS6	suppressor of cytokine signaling 6	
Details	172	93	hsa-miR-16-5p	HSPA4L	heat shock protein family A (Hsp70) member 4 like	
Details	173	93	hsa-miR-16-5p	SEL1L3	SEL1L family member 3	
Details	174	93	hsa-miR-16-5p	FOXK1	forkhead box K1	
Details	175	93	hsa-miR-16-5p	SYT3	synaptotagmin 3	
Details	176	93	hsa-miR-16-5p	HSPG2	heparan sulfate proteoglycan 2	
Details	177	93	hsa-miR-16-5p	CD2AP	CD2 associated protein	
Details	178	93	hsa-miR-16-5p	SUCO	SUN domain containing ossification factor	
Details	179	93	hsa-miR-16-5p	MYO5A	myosin VA	
Details	180	93	hsa-miR-16-5p	AMOTL1	angiomotin like 1	
Details	181	93	hsa-miR-16-5p	KANK1	KN motif and ankyrin repeat domains 1	
Details	182	93	hsa-miR-16-5p	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	
Details	183	93	hsa-miR-16-5p	SYDE2	synapse defective Rho GTPase homolog 2	
Details	184	93	hsa-miR-16-5p	TMEM245	transmembrane protein 245	
Details	185	93	hsa-miR-16-5p	RPS6KA3	ribosomal protein S6 kinase A3	
Details	186	93	hsa-miR-16-5p	PLXNC1	plexin C1	
Details	187	93	hsa-miR-16-5p	VPS33B	VPS33B, late endosome and lysosome associated	
Details	188	93	hsa-miR-16-5p	KIF21A	kinesin family member 21A	
Details	189	92	hsa-miR-16-5p	ZMYM2	zinc finger MYM-type containing 2	
Details	190	92	hsa-miR-16-5p	SUMO3	small ubiquitin-like modifier 3	
Details	191	92	hsa-miR-16-5p	CACUL1	CDK2 associated cullin domain 1	
Details	192	92	hsa-miR-16-5p	PIAS2	protein inhibitor of activated STAT 2	
Details	193	92	hsa-miR-16-5p	ACVR2A	activin A receptor type 2A	
Details	194	92	hsa-miR-16-5p	TBP	TATA-box binding protein	
Details	195	92	hsa-miR-16-5p	STK33	serine/threonine kinase 33	
Details	196	92	hsa-miR-16-5p	SLIT2	slit guidance ligand 2	
Details	197	92	hsa-miR-16-5p	XPO7	exportin 7	
Details	198	92	hsa-miR-16-5p	E2F3	E2F transcription factor 3	
Details	199	92	hsa-miR-16-5p	SMAD7	SMAD family member 7	
Details	200	92	hsa-miR-16-5p	YTHDC1	YTH domain containing 1	
Details	201	92	hsa-miR-16-5p	CHD2	chromodomain helicase DNA binding protein 2	
Details	202	92	hsa-miR-16-5p	SLC12A2	solute carrier family 12 member 2	
Details	203	92	hsa-miR-16-5p	TMCC1	transmembrane and coiled-coil domain family 1	
Details	204	92	hsa-miR-16-5p	COP1	COP1, E3 ubiquitin ligase	
Details	205	92	hsa-miR-16-5p	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	
Details	206	92	hsa-miR-16-5p	AGO4	argonaute RISC catalytic component 4	
Details	207	92	hsa-miR-16-5p	KCNK10	potassium two pore domain channel subfamily K member 10	
Details	208	92	hsa-miR-16-5p	ASH1L	ASH1 like histone lysine methyltransferase	
Details	209	92	hsa-miR-16-5p	RAD23B	RAD23 homolog B, nucleotide excision repair protein	
Details	210	92	hsa-miR-16-5p	SIRT4	sirtuin 4	
Details	211	92	hsa-miR-16-5p	TMEM178B	transmembrane protein 178B	
